Last Name	First Name	User Name	Order of Submission (1=first)	Final Score	Question 1 text	Question 2 text	Question 3 text	Question 4 text	Question 5 text	Question 6 text	Question 7 text	Question 8 text	Question 9 text	Question 10 text	Question 11 text	Question 12 text	Question 13 text	Question 14 text	Question 15 text	Question 16 text	Question 17 text	Question 18 text	Question 19 text	Question 20 text	Question 21 text
[lastname]	[firstname]	Student36	1	0	18 to 24	Male	1: United States of Am[firstname]a	1: United States of Am[firstname]a	1: Texas	1: English	Native speaker	"UTC -06:00 (Central Time Zone US & Canada, Eastern Mexico, Central Am[firstname]a)"	Bachelors Degree	9-12 hours per week	8	1	10+	"I'm specializing in Interactive Intelligence, and I thought this course would be a nice fit for finishing my degree. I also write internal education software at AT&T, so I have some additional background in the subject matter. I may be able to apply some techniques I already know, as well as take techniques learned back to my work in the office."	"Part time masters
Paid for by my company
Georgia Tech has a good software reputation
Masters degree opportunity came at a good time"	"Intelligent tutoring systems, article based learning, group learning, and student skill analysis is all interesting to me."	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"Yes, I've added it!"
[lastname]	[firstname]	Student66	1	0	18 to 24	Male	1: United States	1: United States	1: Florida	1: English	Native speaker	"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South Am[firstname]a and the Caribbean)"	Bachelors Degree	6-9 hours per week	1	1	0	I like the idea of project-based learning and am excited to take on a semester-long project rather than simply watch a series of lectures and do the associated homework/quizzes/tests.	I graduated with a bachelor's degree in Electrical Engineering and I wanted to get a masters' degree in Computer Science to get accreditation that I can indeed program as well as to open up new job opportunities going forward.	"I am extremely interested in game-based learning. If I could find the right project, game-based learning would be my first choice. In general, I find the concept of utilizing machine learning to perform automated mentoring very interesting as well.
I am looking to do a design project (as opposed to a research project). I want to create a tool at the end of the day rather than publish an academic publication on my research."	"Yes, you may post my work for other students in this semester's class to see."	"No, please do not post my work for students in future semesters of CS6460 to see."	"No, please do not post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"Yes, I've added it!"
[lastname]	[firstname]	Student53	1	0	25 to 34	Male	1: Mexico	1: USA	1: Texas	1: Spanish	Fully fluent (non-native speaker)	"UTC -06:00 (Central Time Zone US & Canada, Eastern Mexico, Central Am[firstname]a)"	Bachelors Degree	6-9 hours per week	4	1	3-Feb	"I like the research oriented nature of this course, I believe this course is a lot about thinking and being creative, looking forward to that. I also hope to get something tangible out of this course (like the course's description suggested, an academical publication or start-up business)."	"The perfect mix of a part-time online Masters program, on a well recognized school, for a very affordable price and related to an area of study I am interested in."	"This is very preliminary, I still need to give it some thought, and even see if they make sense under this class's context, but I have two options in mind:
1) Enterprise education/training particularly towards user adoption of new systems.
2) Education / KW Ex[lastname]e systems for underdeveloped communities. Along the lines of micro-finance and mobility."	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"Yes, I've added it!"
[lastname]	[firstname]	Student18	1	0	25 to 34	Male	1: Pakistan	1: Pakistan	1: Punjab	1: Urdu	Par[firstname]lly fluent	"UTC +05:00 (Central Asia, India)"	Bachelors Degree	9-12 hours per week	2	0	3-Feb	"I am writing this from a country having lowest literacy rate. I consider myself privileged to be able to access quality education thanks to educational technology. Somehow this course really motivates me and I feel passionately about it, and wanted to contribute something back to it."	OMSCS is my only option to access quality education at an affordable price.	I donニ_t have anything specific in my mind to work on in this class right now. I am still exploring educational technology domain.	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"Yes, I've added it!"
[lastname]	[firstname]	Student1	1	0	35 to 44	Male	1: Japan	1: USA	1: FL	1: English	Native speaker	"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South Am[firstname]a and the Caribbean)"	Masters Degree	12-15 hours per week	3	1	10-May	"The course works for my combination of interest in technology and education. As a one-time high school teacher and frequent online history adjunct it's clear that it is often hard to define the reasons why people struggle with learning and even harder to figure out how to leverage technology to help them. I want to see if I can come up with meaningful ideas and research to reduce the problem. Also, I plan on specializing in Interactive Intelligence and this is an elective for that course of study. "	"I love to learn more about the subjects I'm interested in, but have a tendency to drift from topic to topic if there is no consequence (grades) so this works better for me than just taking random courses online. Also I have reached a point in my career where I want to stay in this field, but not have writing code as my primary focus. I don't have a CS undergrad degree, so my options are limited. I'm hoping that getting a master's degree will open up new opportunities to do interesting work. I was previously enrolled in an online CS program through Georgia Southern, but it only focused on software development, which is why I applied to OMSCS."	I'd like to do something with adult learners/nontraditional students and using technology to help them learn. When I teach courses online these types of students have a tendency to struggle with learning. I wondering if VR could be a way to better engage them and lessen their difficulties. So it would fall under the category of intelligent tutoring systems. I'm thinking of possibly leveraging Unity and Google's Cardboard VR to  build a prototype once I have a better idea of what build and what I'm measuring.  	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"No, I'll add it later!"
[lastname]	[firstname]	Student2	1	0	18 to 24	Male	1: US	1: US	1: Washington	1: English	Native speaker	UTC -08:00 (Pacific Time Zone US & Canada)	Bachelors Degree	15-18 hours per week	3	1	5-Mar	"I have a passion for education. The combination of this interest area with a project based format made the course very attractive to me. Plus, I saw [firstname] was lea[lastname]g the course and, while I haven't taken another course with him, I'd heard great things."	"My undergraduate degree is in Aeronautical Engineering & Mechanical Engineering. I started because I liked math, liked making stuff, and wanted a challenge. A few months after graduation, I started to feel like I wasn't really ""making"" stuff anymore. A long time programmer, I started to take interest in becoming an actual computer scientist. I selected OMSCS over University of Washington's professional master's program (MSCS) because of the online flexibility, and because I wanted to be part of something new and revolutionary!"	"I don't at this time -- my plan's to spend an appreciable amount of time on the ini[firstname]l research phase to help myself narrow. I will say I'm very interested in higher education as well as continuing education. Further, I think of the suggested course outcomes I'm most interested in creating a software product/start-up. Or, in doing research... it's so hard to choose when you want to do it all."	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I do not agree to participate in the study described above.	"Yes, I've added it!"
[lastname]	[firstname]	Student67	1	0	25 to 34	Male	1: Peru	1: USA	1: GA	1: English	Fully fluent (non-native speaker)	"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South Am[firstname]a and the Caribbean)"	Bachelors Degree	6-9 hours per week	6	1	3-Feb	"- I want to explore all the problems that surround education and how I can contribute towards a possible solution
- I want to be able to explore educational issues that surround the organization of online resources and how can people better ""optimize"" their time spent learning on the web. 
- [firstname] made my experience in KBAI great and have no doubt he will do the same for this class"	The return on investment cannot be beat. GT is an amazing school (got my B.S. there) and know a masters degree from Tech would open many doors for me.	"The 3 major areas of interest are (in no particular order)
- Intelligent recommendation system for online classes
- Bringing online education to developing countries
- Keeping a ""learner"" motivated. Why are some people more inclined to be lifelong learners while others don't have that ""drive""? Is it genetic? Does the people around them play a factor? How about their environment? etc"	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"Yes, I've added it!"
[lastname]	[firstname]	Student68	1	0	25 to 34	Male	1: US	1: US	1: MA	1: English	Native speaker	"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South Am[firstname]a and the Caribbean)"	Masters Degree	9-12 hours per week	0	0	5-Mar	I have a background in education and in educational technology. So I thought that this course would be a good place for me to get started in this online program.	"I have a practical foundation in computer science, but I would like to gain a more academic foundation. I think that this will help me in the future of my career."	I do not really have any ideas. I feel like I will need to get started with the course a bit to know what I want to work on.	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"Yes, I've added it!"
[lastname]	[firstname]	Student33	1	0	35 to 44	Male	1: Bahamas	1: United States	1: Georgia	1: English	Native speaker	"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South Am[firstname]a and the Caribbean)"	Masters Degree	9-12 hours per week	4	1	3-Feb	This seemed to be somewhat interesting based on course description.	To further and develop future career opportunities.	I think language learning and intelligent tutoring may be interesting to me.	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"Yes, I've added it!"
[lastname]	[firstname]	Student20	1	0	25 to 34	Male	1: US	1: US	1: NJ	1: English	Native speaker	"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South Am[firstname]a and the Caribbean)"	Bachelors Degree	6-9 hours per week	5	1	10+	I have prior experience with educational technology and would like to continue exploring new methods of learning with technology.	To enhance my technical capabilities and expand my professional network.	No Answer	"Yes, you may post my work for other students in this semester's class to see."	"Yes, you may post my work for students in future semesters of CS6460 to see."	"Yes, you may post my work to the publicly-viewable class library."	I agree to participate in the study described above.	"Yes, I've added it!"
